Scaffold	Start	End	Mid	Sites	D.Asia_SW.Sichuan_SW.NE	outlier.D.Asia_SW.Sichuan_SW.NE	D.Asia_SW.Sichuan_Sichuan.NE	outlier.D.Asia_SW.Sichuan_Sichuan.NE	D.Asia_SW.N_N.NE	outlier.D.Asia_SW.N_N.NE	D.Asia_SW.N_N.Sichuan	outlier.D.Asia_SW.N_N.Sichuan	D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	outlier.D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	D.AsiaSW.NoramE_AsiaNE.NoramE	outlier.D.AsiaSW.NoramE_AsiaNE.NoramE	D.AsiaSW.NoramE_AsiaN.NoramE	outlier.D.AsiaSW.NoramE_AsiaN.NoramE	D.AsiaSichuan.NoramE_AsiaNE.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaNE.NoramE	D.AsiaSichuan.NoramE_AsiaN.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaN.NoramE	D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	D.AsiaSW.EuroN_AsiaNE.EuroN	outlier.D.AsiaSW.EuroN_AsiaNE.EuroN	D.AsiaSW.EuroN_AsiaSichuan.EuroN	outlier.D.AsiaSW.EuroN_AsiaSichuan.EuroN	D.AsiaSC.Noram_AsiaSC.CircNoram	outlier.D.AsiaSC.Noram_AsiaSC.CircNoram	D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.fst_Noram.CircnoramE
Scaffold01	1095001	1105000	1095072	23	0.0956	background	0.3965	outlier	0.3648	outlier	0.4446	outlier	0.1147	background	0.2185	outlier	0.0616	background	0.2505	outlier	0.0936	background	-0.0794	background	-0.0221	background	0.0746	background	-0.0295	background	-0.0163	background	0.0416	background	0.6105	outlier	0.6006	outlier	background
Scaffold01	1185001	1195000	1190644	1242	0.153	background	-0.1503	background	-0.0942	background	0.0287	background	0.5035	background	-0.1156	background	0.2316	background	-0.2424	background	0.1048	outlier	-0.1357	background	0.1778	background	-0.1228	background	0.1238	background	-0.1348	background	0.1649	background	0.2877	background	0.2367	background	background
Scaffold01	1190001	1200000	1194633	1351	0.162	background	-0.0883	background	-0.0516	background	0.0452	background	0.5779	background	-0.0822000000000001	background	0.2471	outlier	-0.2141	background	0.1152	outlier	-0.1158	background	0.1938	background	-0.0761999999999999	background	0.102	background	-0.113	background	0.1671	background	0.2929	background	0.231	background	background
Scaffold01	1240001	1250000	1242983	799	-0.113	background	-0.0668	background	0.0633	background	0.0112	background	0.5975	background	-0.0548000000000001	background	0.0797	background	-0.193	background	-0.0585	background	-0.0414	background	0.0868	background	-0.0761	background	0.1455	background	-0.0604	background	0.1229	background	0.487	outlier	0.5384	outlier	background
Scaffold01	1285001	1295000	1290218	1806	-0.035	background	-0.0371	background	-0.0649	background	-0.0109	background	0.5699	background	-0.0872999999999999	background	0.238	background	-0.1758	background	0.1495	outlier	-0.1072	background	0.1155	background	-0.0695	background	-0.00229999999999997	background	-0.1144	background	0.1236	background	0.1247	background	0.0977	background	background
Scaffold01	1290001	1300000	1295062	2101	-0.0394	background	-0.0762	background	-0.0865	background	0.0331	background	0.5667	background	-0.1003	background	0.288	outlier	-0.2215	background	0.1668	outlier	-0.1095	background	0.1373	background	-0.0866	background	0.0441	background	-0.1187	background	0.1519	background	0.0269	background	0.0107999999999999	background	background
Scaffold01	1330001	1340000	1335148	1455	0.0818	background	-0.1113	background	-0.038	background	-0.1478	background	0.6448	outlier	-0.0916	background	0.0536	background	-0.1775	background	-0.0323000000000001	background	-0.08	background	0.0289	background	-0.0524	background	-0.0892	background	-0.097	background	0.0567	background	0.331	background	0.388	background	background
Scaffold01	1335001	1345000	1339742	1473	0.0817	background	-0.1385	background	-0.0692	background	-0.1233	background	0.6471	outlier	-0.0938	background	0.0904	background	-0.184	background	0.000200000000000089	background	-0.1075	background	0.0527	background	-0.0987999999999999	background	-0.0644	background	-0.1076	background	0.0485	background	0.3852	background	0.4227	background	background
Scaffold01	1435001	1445000	1440362	1282	-0.0884	background	0.0235	background	-0.0421	background	0.0237	background	0.5111	background	-0.0644	background	0.1121	background	-0.1699	background	0.00659999999999994	background	-0.0899	background	0.0972	background	-0.0815	background	0.0739	background	-0.0996	background	0.1368	background	0.4603	outlier	0.4686	background	outlier
Scaffold01	1440001	1450000	1444706	1364	-0.0871	background	0.031	background	0.0167	background	0.0648	background	0.5782	background	-0.0512	background	0.1096	background	-0.154	background	0.00680000000000003	background	-0.0447	background	0.1105	background	-0.0392	background	0.1206	background	-0.0822	background	0.1447	background	0.5589	outlier	0.5512	outlier	background
Scaffold01	1455001	1465000	1459778	1465	-0.0415	background	-0.0258	background	0.00420000000000004	background	0.0392	background	0.5352	background	-0.0592	background	0.2418	outlier	-0.1812	background	0.1198	outlier	-0.0866	background	0.1472	background	-0.0245000000000001	background	0.0766	background	-0.088	background	0.1361	background	0.1384	background	0.1132	background	background
Scaffold01	1590001	1600000	1594250	1329	0.1418	background	-0.0416	background	-0.0614	background	0.1531	background	0.4322	background	-0.0889	background	0.2405	outlier	-0.3182	background	0.0112	background	-0.1135	background	0.2126	background	-0.0906	background	0.2314	background	-0.116	background	0.2129	background	0.1883	background	0.205	background	background
Scaffold01	1700001	1710000	1705819	1532	0.1878	background	-0.163	background	-0.0779	background	-0.1056	background	0.6266	background	-0.1205	background	0.1822	background	-0.2007	background	0.102	outlier	-0.137	background	0.1217	background	-0.1126	background	-0.00919999999999999	background	-0.1308	background	0.1313	background	0.1431	background	0.1016	background	background
Scaffold01	1710001	1720000	1715102	1414	0.2564	background	-0.1479	background	-0.0554	background	-0.152	background	0.5925	background	-0.1137	background	0.1593	background	-0.1675	background	0.1055	outlier	-0.1266	background	0.0983	background	-0.092	background	-0.0858	background	-0.1277	background	0.1087	background	0.1087	background	0.0642	background	background
Scaffold01	1870001	1880000	1876466	605	0.1389	background	-0.00919999999999999	background	-0.0281	background	0.2046	background	0.4396	background	-0.0805	background	0.1261	background	-0.2653	background	-0.0587	background	-0.0779	background	0.1823	background	-0.0583	background	0.2428	background	-0.0947	background	0.2805	outlier	0.271	background	0.2735	background	background
Scaffold01	1875001	1885000	1880614	1091	0.2026	background	-0.0153	background	-0.017	background	0.1837	background	0.4486	background	-0.0750000000000001	background	0.1667	background	-0.2778	background	-0.0361	background	-0.0751	background	0.1785	background	-0.0441	background	0.2285	background	-0.0818	background	0.2698	outlier	0.2092	background	0.2335	background	background
Scaffold01	1885001	1895000	1890312	1347	0.2811	background	-0.1476	background	-0.1194	background	0.0571	background	0.6202	background	-0.0935	background	0.1162	background	-0.189	background	0.0206999999999999	background	-0.1246	background	0.1139	background	-0.1352	background	0.0634	background	-0.1544	background	0.1761	background	0.4759	outlier	0.4575	background	background
Scaffold01	1930001	1940000	1938253	206	0.087	background	-0.1648	background	-0.2363	background	0.2713	outlier	0.53	background	-0.0963000000000001	background	0.1091	background	-0.3687	background	-0.1633	background	-0.2434	background	0.4113	outlier	-0.2292	background	0.494	outlier	-0.2314	background	0.4181	outlier	0.4632	outlier	0.3243	background	outlier
Scaffold01	2015001	2025000	2020661	1638	0.2094	background	-0.2185	background	-0.2157	background	0.1945	background	0.5509	background	-0.1522	background	0.0631	background	-0.2109	background	0.00439999999999996	background	-0.2203	background	0.2909	outlier	-0.2231	background	0.3493	outlier	-0.156	background	0.1353	background	0.3468	background	0.1146	background	background
Scaffold01	2020001	2030000	2024516	1677	0.2004	background	-0.2105	background	-0.2048	background	0.1974	background	0.514	background	-0.1654	background	0.0933	background	-0.2501	background	0.0086	background	-0.2205	background	0.2819	background	-0.2186	background	0.339	outlier	-0.1641	background	0.1478	background	0.3257	background	0.1285	background	background
Scaffold01	2030001	2040000	2034964	1473	0.2234	background	-0.283	background	-0.258	background	0.1305	background	0.5511	background	-0.2043	background	0.0203	background	-0.1641	background	0.0604999999999999	background	-0.249	background	0.288	outlier	-0.2635	background	0.3045	background	-0.1896	background	0.1531	background	0.465	outlier	0.1368	background	background
Scaffold01	2045001	2055000	2049644	1687	0.1652	background	-0.2712	background	-0.2544	background	0.1449	background	0.6357	outlier	-0.1522	background	0.0552	background	-0.2533	background	-0.0459000000000001	background	-0.2304	background	0.2768	background	-0.2553	background	0.2669	background	-0.1312	background	0.1081	background	0.4453	background	0.2696	background	background
Scaffold01	2070001	2080000	2075150	1386	-0.0439	background	-0.1234	background	-0.1459	background	0.2784	outlier	0.6384	outlier	-0.1026	background	0.133	background	-0.2989	background	-0.0633	background	-0.157	background	0.3275	outlier	-0.1432	background	0.3411	outlier	-0.1649	background	0.3287	outlier	0.3302	background	0.199	background	background
Scaffold01	2075001	2085000	2078670	955	-0.0702	background	-0.1528	background	-0.2355	background	0.2836	outlier	0.6428	outlier	-0.1628	background	0.1383	background	-0.3872	background	-0.0861	background	-0.2011	background	0.3458	outlier	-0.2134	background	0.3393	outlier	-0.2086	background	0.3566	outlier	0.2165	background	0.0951	background	background
Scaffold01	2080001	2090000	2085093	602	-0.0213	background	-0.06	background	-0.105	background	0.2487	background	0.5769	background	-0.1134	background	0.1283	background	-0.3127	background	-0.071	background	-0.152	background	0.3015	outlier	-0.1385	background	0.2782	background	-0.1523	background	0.287	outlier	0.1279	background	0.0257	background	background
Scaffold01	2090001	2100000	2095736	1087	-0.0092	background	-0.0773	background	-0.1177	background	0.205	background	0.5486	background	-0.1273	background	0.1184	background	-0.2993	background	-0.0536	background	-0.168	background	0.2582	background	-0.1442	background	0.2696	background	-0.1653	background	0.2703	outlier	0.1693	background	0.0831	background	background
Scaffold01	2100001	2110000	2105188	1407	0.00570000000000001	background	-0.0961	background	-0.1352	background	0.2226	background	0.6042	background	-0.1237	background	0.0571	background	-0.2818	background	-0.101	background	-0.177	background	0.2888	outlier	-0.1578	background	0.2966	background	-0.173	background	0.3092	outlier	0.197	background	0.0663	background	background
Scaffold01	2105001	2115000	2110116	1541	-0.000300000000000009	background	-0.1041	background	-0.1459	background	0.2466	background	0.6576	outlier	-0.1297	background	0.1004	background	-0.3166	background	-0.0865	background	-0.1773	background	0.3321	outlier	-0.1604	background	0.3195	background	-0.1731	background	0.3376	outlier	0.2178	background	0.0726	background	background
Scaffold01	2110001	2120000	2114945	1683	-0.0109	background	-0.0825	background	-0.1187	background	0.2414	background	0.6139	background	-0.1125	background	0.1221	background	-0.306	background	-0.0714	background	-0.1663	background	0.3012	outlier	-0.1406	background	0.3143	background	-0.1664	background	0.3036	outlier	0.2413	background	0.1336	background	background
Scaffold01	2115001	2125000	2119854	1641	-0.0063	background	-0.076	background	-0.1018	background	0.2272	background	0.557	background	-0.1086	background	0.1191	background	-0.3012	background	-0.0735	background	-0.1613	background	0.2793	background	-0.1255	background	0.2976	background	-0.1608	background	0.2855	outlier	0.1946	background	0.1079	background	background
Scaffold01	2130001	2140000	2134574	1626	-0.00230000000000001	background	-0.0639	background	-0.0809	background	0.2054	background	0.4526	background	-0.1072	background	0.1376	background	-0.2962	background	-0.0514	background	-0.1411	background	0.2641	background	-0.1133	background	0.2882	background	-0.1392	background	0.2752	outlier	0.1387	background	0.0636	background	background
Scaffold01	2135001	2145000	2139433	1218	0.0588	background	-0.0669	background	-0.0756	background	0.2228	background	0.5305	background	-0.094	background	0.1259	background	-0.2963	background	-0.0764	background	-0.1329	background	0.2935	outlier	-0.102	background	0.3116	background	-0.1358	background	0.3234	outlier	0.179	background	0.0878	background	background
Scaffold01	2140001	2150000	2145607	1202	0.0736	background	-0.075	background	-0.0754	background	0.2149	background	0.5364	background	-0.1031	background	0.1177	background	-0.3332	background	-0.1124	background	-0.1415	background	0.3339	outlier	-0.1049	background	0.3454	outlier	-0.14	background	0.3463	outlier	0.1662	background	0.0624	background	background
Scaffold01	2145001	2155000	2149497	1298	-0.00620000000000001	background	-0.1043	background	-0.1121	background	0.1745	background	0.5145	background	-0.1239	background	0.101	background	-0.3394	background	-0.1145	background	-0.168	background	0.2968	outlier	-0.1354	background	0.3126	background	-0.164	background	0.316	outlier	0.1702	background	0.0889	background	background
Scaffold01	2255001	2265000	2259979	1303	0.2335	background	-0.3104	background	-0.2732	background	-0.1204	background	0.6857	outlier	-0.1771	background	-0.0526	background	-0.1888	background	-0.0643	background	-0.2264	background	0.1304	background	-0.2382	background	-0.0161	background	-0.2278	background	0.159	background	0.2574	background	0.1387	background	outlier
Scaffold01	2260001	2270000	2265345	1435	0.2197	background	-0.197	background	-0.1811	background	0.0239	background	0.6815	outlier	-0.1287	background	0.0301	background	-0.206	background	-0.0472	background	-0.1856	background	0.1406	background	-0.1748	background	0.0395000000000001	background	-0.1905	background	0.1597	background	0.214	background	0.1507	background	outlier
Scaffold01	2290001	2300000	2295283	1383	0.3289	outlier	-0.0255	background	-0.028	background	-0.0354	background	0.6906	outlier	-0.0661	background	0.124	background	-0.118	background	0.0721000000000001	background	-0.0967999999999999	background	0.0871	background	-0.0554	background	-0.0973999999999999	background	-0.0843	background	0.0883	background	0.1873	background	0.1521	background	background
Scaffold01	2310001	2320000	2315218	1687	0.2235	background	0.00280000000000002	background	0.0733	background	-0.1136	background	0.616	background	-0.0280999999999999	background	0.107	background	-0.00700000000000001	outlier	0.1281	outlier	0.0924	outlier	-0.0241	background	0.1533	outlier	-0.2659	background	0.088	outlier	0.0083	background	0.1731	background	0.1761	background	background
Scaffold01	2315001	2325000	2319775	1559	0.1637	background	0.0613	background	0.1426	background	-0.00589999999999999	background	0.5964	background	0.0372	background	0.1457	background	0.0368000000000001	outlier	0.1453	outlier	0.1771	outlier	0.0285	background	0.2602	outlier	-0.1795	background	0.1775	outlier	0.0493	background	0.1359	background	0.1078	background	background
Scaffold01	2325001	2335000	2330083	1499	0.1055	background	0.0309	background	0.0499	background	0.0746	background	0.6479	outlier	-0.0225000000000001	background	0.1527	background	-0.1325	background	0.0427	background	-0.043	background	0.1435	background	0.0212	background	0.0538	background	-0.0466	background	0.1421	background	0.2132	background	0.1797	background	outlier
Scaffold01	2330001	2340000	2334779	1461	0.2759	background	0.1741	background	0.122	background	0.1131	background	0.6976	outlier	0.0103	background	0.1846	background	-0.0821999999999999	background	0.0921000000000001	background	0.00759999999999994	background	0.1492	background	0.092	background	0.0187999999999999	background	0.0165999999999999	background	0.131	background	0.1778	background	0.1211	background	outlier
Scaffold01	2335001	2345000	2340173	1321	0.2749	background	0.1546	background	0.0944	background	0.1013	background	0.7354	outlier	-0.00719999999999998	background	0.1527	background	-0.0784	background	0.0814999999999999	background	-0.0145	background	0.1731	background	0.0583	background	0.0209	background	0.00539999999999996	background	0.1152	background	0.3076	background	0.2057	background	outlier
Scaffold01	2340001	2350000	2345223	1455	0.3187	outlier	0.1439	background	0.0799	background	0.1183	background	0.7815	outlier	0.00279999999999991	background	0.1272	background	-0.0608000000000001	background	0.0636	background	-0.0372	background	0.1829	background	0.0636	background	0.0425	background	-0.0105000000000001	background	0.1553	background	0.429	background	0.3097	background	outlier
Scaffold01	2345001	2355000	2347610	825	0.3745	outlier	0.1533	background	0.0848	background	0.1149	background	0.7833	outlier	0.0124000000000001	background	0.124	background	-0.0413	background	0.0702999999999999	background	-0.0349	background	0.1828	background	0.0825999999999999	background	0.0178999999999999	background	-0.0126999999999999	background	0.1651	background	0.4397	background	0.3106	background	outlier
Scaffold01	2350001	2360000	2352292	52	0.2517	background	0.0604	background	0.0555	background	0.1553	background	0.6824	outlier	-0.0215	background	0.0666	background	-0.1376	background	-0.0495000000000001	background	-0.0424	background	0.1877	background	0.00109999999999999	background	0.1426	background	-0.0408000000000001	background	0.1981	background	0.5188	outlier	0.4472	outlier	outlier
Scaffold01	2370001	2380000	2376990	17	-0.0301	background	-0.0238	background	-0.0855	background	0.1792	background	NA	NA	0.2291	outlier	-0.2377	background	0.5079	outlier	0.0411	background	-0.0051	background	0.0184	background	-0.0431	background	0.1116	background	-0.0067	background	0.0197	background	0.011	background	-0.2862	background	background
Scaffold01	2375001	2385000	2376990	17	-0.0301	background	-0.0238	background	-0.0855	background	0.1792	background	NA	NA	0.2291	outlier	-0.2377	background	0.5079	outlier	0.0411	background	-0.0051	background	0.0184	background	-0.0431	background	0.1116	background	-0.0067	background	0.0197	background	0.011	background	-0.2862	background	background
Scaffold01	2510001	2520000	2518192	568	0.2572	background	0.1073	background	0.0535	background	0.1131	background	0.7449	outlier	-0.00359999999999994	background	0.1144	background	-0.0465	background	0.0715	background	-0.0291	background	0.1525	background	0.0279999999999999	background	0.0439999999999999	background	-0.0243	background	0.14	background	0.3157	background	0.2061	background	outlier
Scaffold01	2515001	2525000	2520343	1108	0.3211	outlier	0.0199	background	0.00509999999999999	background	0.00609999999999999	background	0.7207	outlier	-0.0209	background	0.1731	background	-0.0734	background	0.1206	outlier	-0.0529999999999999	background	0.1221	background	-0.00450000000000006	background	0.00349999999999995	background	-0.0778	background	0.1558	background	0.2153	background	0.1457	background	outlier
Scaffold01	2520001	2530000	2525011	1082	0.2504	background	-0.0427	background	-0.0167	background	-0.0526	background	0.5829	background	-0.0507	background	0.2262	background	-0.1407	background	0.1362	outlier	-0.0742	background	0.1078	background	-0.0282	background	-0.00590000000000002	background	-0.0942999999999999	background	0.1311	background	0.0939	background	0.0761000000000001	background	background
Scaffold01	2530001	2540000	2534600	1473	0.1866	background	-0.1832	background	-0.1133	background	-0.0671	background	0.6404	outlier	-0.1308	background	0.1349	background	-0.2146	background	0.0511	background	-0.1692	background	0.1376	background	-0.157	background	0.0196	background	-0.1681	background	0.131	background	0.1951	background	0.1413	background	background
Scaffold01	2535001	2545000	2540270	1460	0.2621	background	-0.1946	background	-0.162	background	-0.1304	background	0.6848	outlier	-0.1372	background	0.1232	background	-0.1531	background	0.1073	outlier	-0.1967	background	0.0634	background	-0.1841	background	-0.0778	background	-0.1986	background	0.0782	background	0.1775	background	0.13	background	outlier
Scaffold01	2540001	2550000	2545064	1655	0.2674	background	-0.2405	background	-0.2103	background	-0.2151	background	0.6617	outlier	-0.1493	background	0.0978	background	-0.1176	background	0.1295	outlier	-0.2258	background	-0.0198	background	-0.2231	background	-0.1891	background	-0.2153	background	0.0582	background	0.1449	background	0.133	background	outlier
Scaffold01	2545001	2555000	2549484	1504	0.2092	background	-0.2662	background	-0.2049	background	-0.2398	background	0.6681	outlier	-0.151	background	0.0754	background	-0.135	background	0.0914	background	-0.239	background	0.00370000000000004	background	-0.2426	background	-0.2024	background	-0.2183	background	0.0622	background	0.2356	background	0.2159	background	outlier
Scaffold01	2550001	2560000	2555051	1272	0.0944	background	-0.2187	background	-0.0906	background	-0.1688	background	0.6472	outlier	-0.121	background	0.0917	background	-0.1072	background	0.1055	outlier	-0.1603	background	0.0303	background	-0.1292	background	-0.1411	background	-0.2291	background	0.0461	background	0.1826	background	0.1385	background	outlier
Scaffold01	2555001	2565000	2560120	1360	-0.0293	background	-0.1819	background	-0.00270000000000004	background	-0.12	background	0.5193	background	-0.0766	background	0.1162	background	-0.0857	background	0.1071	outlier	-0.0793	background	0.00359999999999994	background	-0.0387	background	-0.133	background	-0.2168	background	0.0616	background	-0.0531	background	-0.0476	background	outlier
Scaffold01	2680001	2690000	2684603	926	0.1625	background	-0.064	background	-0.0607	background	0.2639	outlier	0.502	background	-0.084	background	0.1726	background	-0.3208	background	-0.0642	background	-0.1	background	0.2433	background	-0.0749	background	0.3969	outlier	-0.0896	background	0.1931	background	0.2058	background	0.1993	background	background
Scaffold01	2705001	2715000	2710565	1517	0.0178	background	0.0305	background	0.0227	background	0.1537	background	0.4834	background	-0.0396	background	0.2515	outlier	-0.2571	background	0.034	background	-0.0626	background	0.2143	background	0	background	0.2087	background	-0.0691000000000001	background	0.1566	background	0.1298	background	0.133	background	background
